Day of Week,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Thursday,18:08,19:58,Breakfast,5,110,84.74,Male,Window,No,2,No,46-55,Clear
Wednesday,09:04,12:04,Lunch,4,180,93.02,Other,Outdoor,No,2,Yes,36-45,Clear
Tuesday,12:44,14:04,Lunch,2,80,15.12,Female,Outdoor,Yes,1,No,25-35,Cloudy
Wednesday,15:54,16:40,Breakfast,4,46,135.51,Male,Outdoor,No,1,Yes,56+,Rainy
Tuesday,10:31,11:09,Dinner,5,38,101.31,Male,Booth,Yes,3,No,56+,Rainy
Tuesday,11:43,13:47,Lunch,2,124,15.16,Female,Booth,Yes,4,No,36-45,Cloudy
Friday,09:32,12:32,Dinner,3,180,77.03,Female,Outdoor,Yes,5,Yes,36-45,Cloudy
Tuesday,11:22,12:36,Dinner,6,74,48.68,Male,Window,No,4,No,18-24,Rainy
Saturday,07:44,10:43,Dinner,3,179,127.98,Male,Booth,Yes,2,No,25-35,Clear
Saturday,06:46,08:45,Lunch,4,119,136.77,Female,Window,Yes,3,Yes,36-45,Rainy
Wednesday,09:11,10:42,Dinner,2,91,60.5,Other,Booth,Yes,1,No,25-35,Clear
Sunday,08:06,08:50,Dinner,6,44,71.81,Other,Booth,Yes,4,No,46-55,Rainy
Monday,20:04,22:18,Breakfast,4,134,144.4,Male,Booth,No,4,Yes,36-45,Cloudy
Saturday,11:08,14:05,Dinner,1,177,128.53,Other,Window,Yes,4,Yes,36-45,Clear
Thursday,09:16,12:13,Breakfast,3,177,102.36,Male,Outdoor,No,3,No,18-24,Rainy
Monday,19:46,22:46,Breakfast,1,180,115.37,Male,Booth,Yes,5,Yes,18-24,Clear
Wednesday,06:31,08:02,Lunch,3,91,118.06,Male,Booth,Yes,1,No,36-45,Rainy
Wednesday,14:02,14:56,Dinner,1,54,147.95,Other,Window,No,4,Yes,36-45,Clear
Tuesday,07:35,09:01,Dinner,5,86,137.58,Other,Booth,Yes,5,Yes,36-45,Sunny
Saturday,19:50,22:36,Dinner,3,166,51.87,Male,Outdoor,No,3,No,36-45,Cloudy
Tuesday,16:58,18:42,Dinner,6,104,106.11,Other,Booth,Yes,5,No,56+,Clear
Monday,18:40,21:29,Lunch,4,169,63.92,Male,Window,No,1,No,25-35,Clear
Saturday,10:16,11:06,Breakfast,4,50,43.67,Other,Outdoor,Yes,4,No,25-35,Clear
Wednesday,14:24,17:12,Breakfast,2,168,54.95,Other,Outdoor,No,2,No,56+,Sunny
Tuesday,19:10,21:44,Breakfast,1,154,65.98,Other,Booth,Yes,4,Yes,46-55,Sunny
Sunday,16:20,17:08,Dinner,3,48,31.78,Female,Booth,Yes,1,No,25-35,Rainy
Wednesday,12:00,12:51,Lunch,5,51,127.75,Female,Outdoor,Yes,3,Yes,18-24,Sunny
Thursday,20:39,22:01,Dinner,3,82,52.33,Other,Window,No,1,No,25-35,Rainy
Sunday,08:28,10:49,Lunch,1,141,120.89,Male,Booth,Yes,5,No,36-45,Rainy
Sunday,08:20,10:05,Dinner,5,105,17.9,Other,Booth,Yes,1,No,25-35,Rainy
Tuesday,20:06,22:34,Dinner,1,148,28.92,Male,Outdoor,Yes,1,Yes,56+,Sunny
Thursday,20:14,22:47,Lunch,6,153,101.18,Other,Outdoor,Yes,2,Yes,36-45,Clear
Monday,16:47,19:16,Breakfast,6,149,106.53,Female,Outdoor,Yes,3,No,25-35,Sunny
Friday,11:50,14:40,Breakfast,2,170,24.78,Male,Booth,No,1,Yes,36-45,Rainy
Friday,15:38,18:05,Lunch,6,147,106.75,Male,Booth,No,5,Yes,36-45,Cloudy
Sunday,13:34,14:37,Dinner,4,63,69.42,Female,Outdoor,Yes,3,No,56+,Sunny
Monday,17:16,20:12,Lunch,6,176,117.99,Female,Window,No,5,No,18-24,Sunny
Tuesday,10:02,11:07,Dinner,4,65,123.24,Male,Window,Yes,1,No,18-24,Rainy
Saturday,19:22,20:38,Dinner,6,76,148.31,Male,Outdoor,Yes,2,No,25-35,Cloudy
Friday,16:35,17:22,Breakfast,1,47,76.3,Male,Outdoor,Yes,4,Yes,56+,Clear
Friday,16:09,17:35,Breakfast,2,86,116.16,Female,Outdoor,No,3,Yes,56+,Sunny
Wednesday,10:17,11:48,Breakfast,6,91,66.16,Other,Window,Yes,4,No,36-45,Rainy
Thursday,18:52,21:15,Breakfast,4,143,86.79,Other,Booth,Yes,3,No,18-24,Cloudy
Sunday,13:36,15:22,Breakfast,2,106,22.27,Other,Outdoor,Yes,5,Yes,46-55,Clear
Tuesday,14:16,15:23,Dinner,3,67,12.79,Male,Booth,Yes,3,No,25-35,Sunny
Sunday,19:23,22:05,Dinner,4,162,74.21,Male,Outdoor,Yes,4,No,46-55,Rainy
Sunday,08:35,09:54,Dinner,6,79,124.79,Female,Booth,No,5,Yes,36-45,Clear
Saturday,14:25,15:41,Breakfast,2,76,125.25,Female,Outdoor,Yes,2,No,36-45,Clear
Friday,11:07,11:58,Breakfast,4,51,79.78,Male,Booth,No,2,Yes,46-55,Rainy
Thursday,17:36,20:23,Lunch,2,167,96.9,Female,Booth,No,1,Yes,46-55,Sunny
Thursday,18:21,19:11,Lunch,6,50,39.73,Other,Booth,No,4,No,18-24,Sunny
Monday,09:32,10:44,Breakfast,2,72,41.54,Female,Booth,No,4,Yes,46-55,Cloudy
Thursday,11:32,14:00,Breakfast,2,148,142.67,Female,Window,Yes,3,No,46-55,Sunny
Wednesday,12:15,14:01,Lunch,2,106,98.59,Male,Outdoor,Yes,5,Yes,25-35,Cloudy
Friday,09:48,10:27,Lunch,3,39,122.93,Male,Booth,Yes,3,No,56+,Rainy
Saturday,18:49,19:55,Breakfast,5,66,23.86,Female,Booth,Yes,3,No,56+,Sunny
Wednesday,14:37,15:35,Dinner,6,58,86.66,Female,Window,No,3,Yes,46-55,Sunny
Saturday,15:18,16:26,Breakfast,5,68,68.16,Other,Outdoor,Yes,3,Yes,25-35,Sunny
Wednesday,10:40,13:35,Lunch,6,175,149.34,Male,Outdoor,No,2,No,46-55,Sunny
Thursday,16:03,17:37,Lunch,4,94,23.03,Male,Booth,No,5,No,46-55,Cloudy
Friday,12:44,15:41,Dinner,5,177,84.77,Female,Outdoor,No,3,No,56+,Clear
Thursday,18:22,20:26,Dinner,6,124,19.83,Other,Booth,Yes,1,No,36-45,Cloudy
Saturday,16:46,19:37,Breakfast,6,171,78.1,Female,Window,No,4,No,25-35,Cloudy
Thursday,17:23,18:12,Breakfast,2,49,15.69,Male,Outdoor,Yes,3,No,25-35,Sunny
Thursday,19:20,21:51,Lunch,6,151,100.43,Other,Window,Yes,2,No,36-45,Sunny
Friday,20:42,23:04,Lunch,3,142,121.13,Male,Outdoor,Yes,2,No,46-55,Sunny
Tuesday,20:40,22:51,Dinner,1,131,101.2,Male,Booth,No,5,Yes,25-35,Cloudy
Friday,07:48,09:49,Dinner,3,121,51.25,Female,Window,No,2,Yes,25-35,Sunny
Wednesday,09:15,11:09,Dinner,4,114,32.94,Other,Booth,No,2,No,18-24,Rainy
Saturday,21:42,00:08,Dinner,5,146,74.6,Male,Window,No,4,Yes,56+,Clear
Tuesday,09:31,12:29,Lunch,2,178,73.04,Male,Outdoor,No,3,Yes,46-55,Cloudy
Monday,13:01,14:23,Lunch,5,82,60.1,Female,Window,Yes,4,No,56+,Clear
Sunday,17:10,18:33,Lunch,2,83,144.52,Female,Booth,No,3,No,56+,Rainy
Friday,20:59,23:01,Lunch,6,122,29.59,Other,Outdoor,Yes,3,Yes,25-35,Clear
Tuesday,17:03,19:58,Breakfast,4,175,145.94,Male,Outdoor,No,5,Yes,36-45,Clear
Tuesday,10:22,13:21,Breakfast,2,179,46.71,Male,Booth,No,4,Yes,36-45,Rainy
Monday,20:27,23:04,Breakfast,1,157,41.96,Female,Booth,No,3,Yes,46-55,Cloudy
Friday,13:10,15:31,Lunch,5,141,61.16,Male,Outdoor,No,1,No,18-24,Sunny
Monday,14:47,15:27,Breakfast,6,40,51.18,Male,Booth,Yes,4,Yes,25-35,Clear
Thursday,14:35,16:42,Dinner,5,127,110.65,Female,Booth,Yes,1,Yes,46-55,Rainy
Saturday,14:46,15:20,Lunch,3,34,70.24,Other,Booth,No,2,No,18-24,Rainy
Wednesday,15:34,18:09,Dinner,3,155,126.89,Other,Outdoor,Yes,3,Yes,18-24,Rainy
Wednesday,10:43,13:01,Dinner,2,138,144.44,Female,Booth,No,1,Yes,56+,Rainy
Friday,16:56,17:30,Dinner,2,34,148.75,Female,Outdoor,Yes,4,Yes,36-45,Sunny
Tuesday,17:12,19:55,Lunch,1,163,55.65,Female,Booth,No,5,No,36-45,Cloudy
Tuesday,11:20,11:51,Lunch,5,31,81.02,Female,Window,Yes,1,No,25-35,Cloudy
Wednesday,08:40,10:49,Dinner,1,129,34.01,Other,Booth,No,1,Yes,56+,Clear
Thursday,17:15,18:11,Breakfast,2,56,88.11,Other,Window,No,2,Yes,56+,Sunny
Wednesday,06:21,06:53,Breakfast,3,32,148.31,Male,Outdoor,No,2,Yes,18-24,Sunny
Sunday,18:28,20:37,Breakfast,4,129,26.41,Female,Window,No,5,Yes,25-35,Rainy
Wednesday,18:33,19:33,Lunch,6,60,50.45,Male,Outdoor,No,1,No,46-55,Rainy
Friday,15:38,17:37,Lunch,5,119,78.07,Other,Booth,Yes,4,No,56+,Cloudy
Tuesday,11:06,14:01,Lunch,1,175,115.08,Other,Outdoor,No,4,Yes,56+,Rainy
Monday,20:38,23:32,Lunch,5,174,142.79,Other,Booth,No,2,Yes,56+,Sunny
Tuesday,11:05,11:48,Lunch,5,43,24.18,Other,Booth,No,3,Yes,56+,Cloudy
Friday,13:30,15:21,Lunch,4,111,71.86,Female,Window,No,5,Yes,56+,Rainy
Saturday,21:55,00:12,Lunch,6,137,49.21,Male,Outdoor,Yes,4,Yes,56+,Clear
Sunday,17:09,17:55,Dinner,3,46,125.26,Other,Window,Yes,1,No,25-35,Clear
Sunday,14:44,16:48,Dinner,5,124,111.36,Other,Booth,Yes,5,No,25-35,Cloudy
Tuesday,12:12,12:59,Lunch,5,47,135.09,Male,Booth,Yes,5,No,25-35,Rainy
Tuesday,18:16,20:33,Lunch,5,137,128.52,Male,Booth,Yes,2,No,25-35,Sunny
Sunday,10:36,11:49,Breakfast,4,73,36.53,Female,Outdoor,No,5,No,18-24,Cloudy
Sunday,18:07,20:36,Breakfast,4,149,42.86,Male,Booth,Yes,4,Yes,46-55,Clear
Monday,15:56,17:19,Lunch,3,83,10.69,Male,Window,No,3,Yes,46-55,Cloudy
Monday,06:25,08:55,Lunch,6,150,121.27,Female,Booth,No,4,Yes,36-45,Clear
Saturday,13:35,15:21,Dinner,3,106,148.25,Other,Outdoor,Yes,2,Yes,36-45,Cloudy
Wednesday,21:04,23:08,Dinner,3,124,74.54,Male,Outdoor,Yes,4,Yes,36-45,Sunny
Thursday,19:51,22:13,Lunch,2,142,93.41,Female,Window,Yes,4,Yes,36-45,Cloudy
Monday,19:04,20:35,Breakfast,4,91,29.51,Other,Booth,Yes,2,No,25-35,Clear
Thursday,09:52,12:52,Lunch,1,180,126.59,Female,Booth,No,3,Yes,25-35,Clear
Monday,11:10,12:58,Lunch,2,108,139.71,Other,Booth,No,5,No,18-24,Clear
Monday,15:47,18:45,Breakfast,1,178,110.59,Male,Window,Yes,2,No,56+,Clear
Monday,18:44,20:50,Dinner,6,126,41.06,Other,Booth,No,2,Yes,56+,Clear
Sunday,08:23,10:35,Lunch,6,132,64.66,Other,Window,Yes,2,Yes,46-55,Cloudy
Tuesday,17:12,18:16,Lunch,1,64,95.95,Male,Window,Yes,3,No,18-24,Rainy
Thursday,13:42,16:10,Dinner,6,148,26.88,Male,Booth,Yes,5,No,25-35,Clear
Monday,08:21,09:27,Lunch,4,66,100.11,Male,Window,No,1,No,46-55,Sunny
Sunday,09:42,11:09,Breakfast,2,87,63.31,Female,Booth,No,1,Yes,46-55,Rainy
Monday,14:05,15:54,Dinner,1,109,118.16,Other,Outdoor,No,3,No,36-45,Clear
Friday,06:35,09:14,Lunch,3,159,138.83,Female,Outdoor,No,1,Yes,25-35,Cloudy
Friday,11:56,14:24,Lunch,2,148,88.01,Other,Booth,No,2,Yes,18-24,Clear
Sunday,16:44,17:19,Breakfast,4,35,127.35,Other,Window,No,4,No,25-35,Rainy
Thursday,15:32,18:12,Lunch,6,160,101.89,Male,Window,No,4,Yes,36-45,Rainy
Saturday,14:30,15:24,Dinner,1,54,41.75,Other,Window,No,1,Yes,18-24,Clear
Tuesday,17:38,19:01,Lunch,1,83,89.48,Male,Window,Yes,3,Yes,36-45,Sunny
Tuesday,14:58,16:24,Dinner,4,86,86.08,Other,Booth,Yes,4,No,56+,Cloudy
Saturday,07:32,09:05,Breakfast,3,93,148.79,Male,Booth,No,1,No,36-45,Cloudy
Thursday,10:03,10:55,Lunch,4,52,117.75,Male,Window,No,1,No,36-45,Sunny
Friday,17:24,19:03,Lunch,6,99,75.27,Male,Booth,No,2,Yes,46-55,Sunny
Wednesday,12:14,14:05,Dinner,6,111,22.87,Male,Outdoor,No,1,Yes,25-35,Cloudy
Thursday,20:41,22:17,Breakfast,4,96,47.26,Male,Outdoor,Yes,3,Yes,36-45,Sunny
Sunday,16:39,17:28,Dinner,2,49,116.77,Male,Outdoor,Yes,5,No,56+,Clear
Monday,14:48,16:38,Lunch,2,110,83.13,Male,Booth,Yes,1,No,56+,Clear
Tuesday,20:30,21:46,Lunch,1,76,46.75,Other,Outdoor,No,1,No,25-35,Rainy
Monday,12:10,13:00,Breakfast,5,50,50.36,Male,Outdoor,No,1,Yes,36-45,Clear
Tuesday,20:48,21:20,Breakfast,2,32,97.97,Male,Booth,No,2,Yes,46-55,Cloudy
Wednesday,16:13,17:47,Lunch,2,94,96.47,Male,Outdoor,No,4,Yes,18-24,Clear
Friday,14:22,17:06,Dinner,5,164,89.66,Male,Outdoor,No,4,No,25-35,Rainy
Friday,17:06,19:06,Dinner,3,120,105.21,Male,Outdoor,No,1,Yes,18-24,Sunny
Sunday,11:13,12:34,Breakfast,2,81,96.8,Male,Booth,No,2,Yes,36-45,Clear
Friday,07:54,10:30,Breakfast,2,156,11.54,Other,Window,Yes,5,No,56+,Clear
Friday,17:01,19:50,Dinner,1,169,61.44,Female,Booth,Yes,3,No,46-55,Cloudy
Friday,07:39,10:10,Lunch,3,151,79.29,Other,Outdoor,No,4,Yes,36-45,Clear
Wednesday,08:05,10:16,Breakfast,3,131,52.49,Male,Booth,No,1,Yes,46-55,Rainy
Wednesday,09:13,11:26,Lunch,4,133,138.53,Other,Window,Yes,4,Yes,46-55,Cloudy
Friday,09:20,10:34,Breakfast,5,74,56.7,Other,Outdoor,Yes,4,No,25-35,Sunny
Monday,18:27,19:31,Dinner,6,64,30.45,Other,Outdoor,Yes,3,Yes,56+,Clear
Saturday,14:01,17:00,Breakfast,3,179,138,Female,Window,Yes,3,No,36-45,Clear
Saturday,06:44,07:51,Breakfast,2,67,93.87,Male,Outdoor,Yes,5,No,25-35,Cloudy
Sunday,13:52,16:19,Lunch,6,147,50.38,Female,Outdoor,No,5,Yes,36-45,Rainy
Friday,17:10,18:49,Breakfast,5,99,84.62,Female,Booth,No,2,Yes,36-45,Cloudy
Monday,20:55,21:37,Breakfast,2,42,136.79,Other,Window,No,3,Yes,46-55,Clear
Monday,21:08,23:44,Breakfast,2,156,52.05,Other,Window,Yes,1,Yes,36-45,Sunny
Saturday,21:05,22:03,Dinner,5,58,18.96,Male,Outdoor,Yes,3,Yes,18-24,Sunny
Sunday,12:06,13:03,Breakfast,2,57,55.55,Female,Booth,Yes,1,No,46-55,Rainy
Sunday,17:30,20:14,Dinner,4,164,48.93,Female,Window,No,3,Yes,56+,Cloudy
Wednesday,19:40,21:12,Breakfast,6,92,136.07,Male,Outdoor,Yes,3,Yes,46-55,Cloudy
Sunday,06:26,08:46,Dinner,3,140,18.12,Female,Booth,No,3,Yes,56+,Sunny
Friday,06:59,08:46,Breakfast,6,107,94.84,Female,Booth,No,4,Yes,56+,Clear
Saturday,20:15,22:22,Breakfast,1,127,55.56,Other,Window,No,3,Yes,36-45,Rainy
Tuesday,08:04,10:50,Lunch,5,166,27.82,Female,Booth,No,3,No,25-35,Clear
Monday,17:26,19:01,Dinner,1,95,135.62,Female,Booth,Yes,2,Yes,36-45,Cloudy
Wednesday,08:50,09:54,Breakfast,2,64,107.58,Female,Outdoor,Yes,5,No,36-45,Rainy
Friday,17:24,18:12,Dinner,2,48,101.05,Female,Window,Yes,5,Yes,36-45,Rainy
Monday,08:29,10:11,Breakfast,2,102,130.44,Other,Outdoor,No,5,No,46-55,Sunny
Tuesday,15:57,16:32,Lunch,3,35,90.23,Male,Window,Yes,1,Yes,25-35,Cloudy
Thursday,08:16,09:02,Lunch,3,46,34.68,Female,Outdoor,No,5,No,46-55,Cloudy
Sunday,13:53,15:50,Dinner,3,117,67.5,Male,Outdoor,Yes,5,No,25-35,Rainy
Thursday,19:19,20:32,Lunch,2,73,39.81,Female,Outdoor,No,1,Yes,18-24,Sunny
Monday,16:47,19:00,Lunch,1,133,50.28,Other,Window,Yes,3,Yes,36-45,Rainy
Thursday,08:52,11:19,Dinner,5,147,135.97,Female,Booth,No,3,No,18-24,Clear
Saturday,08:32,11:01,Dinner,4,149,35.29,Male,Outdoor,Yes,2,No,56+,Clear
Monday,18:37,19:10,Breakfast,2,33,134.98,Male,Window,No,2,No,36-45,Rainy
Saturday,09:24,11:26,Dinner,4,122,147.1,Other,Window,No,1,Yes,36-45,Rainy
Thursday,18:42,20:34,Lunch,2,112,28.13,Female,Window,Yes,5,Yes,18-24,Cloudy
Sunday,18:14,19:31,Breakfast,1,77,33.56,Female,Booth,Yes,4,No,36-45,Clear
Tuesday,20:33,21:57,Lunch,2,84,13.85,Female,Outdoor,No,3,No,56+,Cloudy
Monday,14:54,15:38,Breakfast,4,44,70.94,Male,Outdoor,No,1,Yes,36-45,Sunny
Wednesday,19:10,20:24,Breakfast,2,74,148.73,Other,Booth,Yes,4,No,18-24,Clear
Sunday,19:21,20:11,Breakfast,3,50,149.92,Female,Window,No,4,Yes,56+,Rainy
Monday,09:04,10:30,Lunch,2,86,118.25,Male,Booth,No,3,No,36-45,Rainy
Saturday,20:46,23:43,Lunch,6,177,117.02,Female,Window,No,2,Yes,36-45,Cloudy
Tuesday,16:44,18:18,Dinner,5,94,74.81,Other,Window,No,3,Yes,46-55,Rainy
Sunday,06:31,09:24,Breakfast,1,173,81.21,Male,Outdoor,No,3,Yes,18-24,Clear
Wednesday,20:37,21:22,Breakfast,2,45,116.08,Female,Window,No,4,Yes,18-24,Clear
Tuesday,19:26,20:14,Lunch,2,48,95.75,Female,Booth,No,4,Yes,56+,Sunny
Friday,16:08,18:28,Lunch,3,140,83.57,Male,Window,No,3,Yes,18-24,Sunny
Tuesday,10:39,12:37,Dinner,6,118,110.75,Other,Window,Yes,1,No,25-35,Clear
Wednesday,13:57,15:18,Dinner,1,81,100.56,Male,Booth,Yes,2,No,25-35,Clear
Tuesday,19:53,21:11,Breakfast,3,78,15.08,Female,Window,No,4,No,46-55,Cloudy
Thursday,07:58,10:43,Dinner,2,165,16.53,Other,Outdoor,No,4,No,46-55,Clear
Tuesday,18:18,19:46,Lunch,4,88,62.65,Other,Window,Yes,2,No,36-45,Clear
Monday,07:44,10:31,Lunch,1,167,128.3,Female,Outdoor,Yes,1,No,25-35,Rainy
Saturday,10:25,11:26,Breakfast,5,61,69.87,Other,Outdoor,Yes,1,No,36-45,Clear
Monday,07:06,08:38,Breakfast,5,92,21.87,Male,Outdoor,No,4,Yes,46-55,Sunny
Sunday,15:27,16:50,Lunch,4,83,59.06,Male,Outdoor,Yes,1,Yes,18-24,Rainy
Friday,16:27,18:02,Dinner,6,95,80.66,Female,Outdoor,Yes,1,No,25-35,Clear
Saturday,18:38,19:39,Lunch,6,61,14.7,Male,Outdoor,No,2,No,36-45,Rainy
Friday,16:46,19:33,Breakfast,2,167,130.17,Other,Outdoor,Yes,3,Yes,36-45,Rainy
Wednesday,20:39,23:34,Breakfast,6,175,88.83,Female,Booth,No,5,No,18-24,Cloudy
Sunday,17:22,20:13,Breakfast,2,171,22.52,Male,Booth,No,3,Yes,25-35,Sunny
Wednesday,18:45,21:18,Lunch,6,153,86.47,Female,Outdoor,No,2,Yes,18-24,Rainy
Friday,17:11,19:56,Dinner,4,165,97.2,Other,Booth,No,3,No,25-35,Cloudy
Monday,18:59,20:28,Breakfast,2,89,20.26,Male,Outdoor,No,4,Yes,46-55,Cloudy
Thursday,09:37,10:29,Breakfast,6,52,39.01,Female,Booth,Yes,2,No,56+,Clear
